flight,sector,eto_hour,eto_minute,eto_second
351,ugw,07,21,0
351,ua,07,39,0
351,uaus,07,39,0
352,ugw,07,04,0
353,uttup,07,04,0
353,uttu,07,19,0
354,pv,07,04,0
354,ugw,07,21,0
355,ugw,07,05,0
356,pv,07,05,0
357,uaus,07,06,0
358,ua,07,06,0
358,uaus,07,06,0
359,pv,07,06,0
360,ufxf,07,06,0
361,pv,07,06,0
362,ufxf,07,06,0
363,uttup,07,06,0
363,uttu,07,14,0
364,pv,07,07,0
364,ugw,07,17,0
364,ua,07,42,0
364,uaus,07,42,0
365,tpth,07,07,0
366,tpth,07,09,0
367,ugw,07,09,0
368,ua,07,09,0
368,uaus,07,09,0
368,ugw,07,30,0
368,uttup,08,02,0
368,uttu,08,02,0
368,ufxf,08,04,0
368,uh,08,09,0
369,ufxf,07,11,0
369,uh,07,27,0
370,ugw,07,12,0
371,tpth,07,12,0
372,ua,07,13,0
372,uaus,07,13,0
372,ugw,07,24,0
372,uttup,07,34,0
372,uttu,07,34,0
373,uttup,07,13,0
373,ugw,07,30,0
374,uttup,07,13,0
374,ugw,07,26,0
375,pv,07,13,0
376,pv,07,13,0
377,tpth,07,13,0
378,ugw,07,14,0
379,ugw,07,14,0
380,pv,07,14,0
380,ugw,07,22,0
380,ua,07,43,0
380,uaus,07,43,0
381,uh,07,15,0
381,ufxf,07,27,0
382,ugw,07,15,0
383,uttup,07,15,0
383,uttu,07,15,0
383,ufxf,07,23,0
384,uttup,07,16,0
384,uttu,07,28,0
385,ua,07,16,0
385,uaus,07,16,0
386,uh,07,16,0
387,ufxf,07,17,0
387,uh,07,31,0
388,uh,07,17,0
389,pv,07,17,0
389,ugw,07,33,0
390,ugw,07,18,0
391,tpth,07,18,0
392,uttup,07,19,0
392,uttu,07,34,0
393,uttup,07,19,0
393,uttu,07,19,0
394,uttup,07,19,0
394,uttu,07,19,0
395,ua,07,20,0
395,uaus,07,20,0
395,uh,07,51,0
396,uh,07,21,0
397,ua,07,21,0
397,uaus,07,21,0
397,ugw,07,33,0
397,uttup,07,43,0
397,uttu,07,43,0
398,tpth,07,21,0
399,ugw,07,22,0
400,uaus,07,22,0
400,uh,08,02,0
401,tpth,07,23,0
402,uttup,07,23,0
402,uttu,07,37,0
403,tpth,07,23,0
404,ugw,07,23,0
405,tpth,07,25,0
406,tpth,07,25,0
407,tpth,07,26,0
408,uttup,07,26,0
408,uttu,07,41,0
409,ua,07,26,0
409,uaus,07,26,0
410,tpth,07,26,0
411,pv,07,27,0
411,ugw,07,36,0
412,ugw,07,27,0
412,uttup,07,48,0
413,pv,07,28,0
414,ugw,07,29,0
414,uttup,07,51,0
414,uttu,07,51,0
415,tpth,07,29,0
416,pv,07,29,0
417,ufxf,07,29,0
417,uh,07,34,0
418,ufxf,07,30,0
419,uh,07,30,0
419,ugw,08,03,0
420,uaus,07,30,0
421,ua,07,31,0
421,uaus,07,31,0
422,pv,07,32,0
423,uh,07,32,0
424,uttup,07,32,0
424,uttu,07,46,0
425,uh,07,32,0
426,tpth,07,33,0
427,ufxf,07,33,0
427,uh,07,38,0
428,ufxf,07,34,0
428,uh,07,47,0
429,uttup,07,35,0
429,uttu,07,35,0
430,ufxf,07,35,0
431,ua,07,36,0
431,uaus,07,36,0
432,ufxf,07,36,0
433,pv,07,36,0
434,uh,07,36,0
435,tpth,07,37,0
436,tpth,07,37,0
437,uaus,07,38,0
438,pv,07,38,0
439,pv,07,39,0
439,ugw,07,48,0
439,ua,08,11,0
439,uaus,08,11,0
440,uttup,07,39,0
440,uttu,07,51,0
441,ugw,07,39,0
441,ua,07,52,0
441,uaus,07,52,0
442,ugw,07,40,0
443,ufxf,07,40,0
444,ufxf,07,40,0
444,uh,07,53,0
445,ufxf,07,40,0
446,tpth,07,40,0
447,pv,07,40,0
447,ugw,07,56,0
448,uh,07,40,0
449,ugw,07,41,0
449,ua,07,50,0
449,uaus,07,50,0
