flight,sector,eto_hour,eto_minute,eto_second
536,uh,08,37,00,
537,uttup,08,26,00,
537,uttu,08,42,00,
538,pv,08,27,00,
538,ugw,08,39,00,
538,ua,09,00,00,
539,pv,08,27,00,
539,ugw,08,43,00,
540,ugw,08,27,00,
541,ugw,08,28,00,
541,ua,08,35,00,
541,uaus,08,35,00,
542,ugw,08,30,00,
543,ua,08,31,00,
543,uaus,08,31,00,
544,uh,08,31,00,
544,ufxf,08,43,00,
545,ufxf,08,31,00,
545,uh,08,41,00,
546,uttup,08,32,00,
546,uttu,08,43,00,
547,pv,08,32,00,
548,ua,08,34,00,
548,uaus,08,34,00,
549,ua,08,34,00,
549,uaus,08,34,00,
550,ugw,08,35,00,
550,uttup,08,56,00,
550,uttu,08,56,00,
551,uh,08,35,00,
552,ufxf,08,36,00,
553,uttup,08,36,00,
553,uttu,08,36,00,
554,pv,08,36,00,
554,ugw,08,50,00,
554,ua,09,12,00,
555,uttup,08,37,00,
555,uttu,08,48,00,
556,uh,08,37,00,
556,ufxf,08,44,00,
557,ugw,08,38,00,
558,uh,08,38,00,
559,ugw,08,39,00,
559,ua,08,42,00,
559,uaus,08,42,00,
560,pv,08,40,00,
560,ugw,08,49,00,
561,ufxf,08,40,00,
561,uh,08,52,00,
562,uttup,08,40,00,
562,uttu,08,49,00,
563,ufxf,08,41,00,
563,uh,08,51,00,
564,pv,08,42,00,
565,uttup,08,42,00,
565,uttu,08,42,00,
566,ua,08,43,00,
566,uaus,08,43,00,
567,ufxf,08,43,00,
567,uh,08,48,00,
568,ugw,08,44,00,
568,uttup,09,04,00,
568,uttu,09,04,00,
569,ua,08,44,00,
569,uaus,08,44,00,
570,ua,08,44,00,
570,uaus,08,44,00,
571,ufxf,08,44,00,
571,uh,08,51,00,
572,uh,08,45,00,
572,ufxf,08,56,00,
573,uttup,08,45,00,
573,uttu,09,03,00,
574,ugw,08,46,00,
575,ufxf,08,46,00,
576,uh,08,46,00,
576,ufxf,08,52,00,
577,pv,08,47,00,
577,ugw,08,59,00,
577,ua,09,20,00,
578,ufxf,08,47,00,
578,uh,08,54,00,
579,ua,08,48,00,
579,uaus,08,48,00,
580,ugw,08,48,00,
580,uttup,09,10,00,
580,uttu,09,10,00,
581,uttup,08,49,00,
581,uttu,08,49,00,
582,uh,08,50,00,
583,ua,08,51,00,
583,uaus,08,51,00,
583,ugw,09,01,00,
583,uttup,09,13,00,
583,uttu,09,13,00,
584,ugw,08,51,00,
585,uttup,08,51,00,
585,uttu,09,08,00,
586,ufxf,08,51,00,
587,ufxf,08,52,00,
588,ufxf,08,53,00,
589,uttup,08,53,00,
589,uttu,09,07,00,
590,ua,08,54,00,
590,uaus,08,54,00,
591,ufxf,08,55,00,
591,uh,09,07,00,
592,ugw,08,55,00,
593,ugw,08,55,00,
594,uttup,08,56,00,
594,uttu,08,56,00,
595,ufxf,08,56,00,
595,uh,09,02,00,
596,uh,08,56,00,
597,pv,08,57,00,
597,ugw,09,13,00,
598,pv,08,57,00,
599,ugw,08,58,00,
599,uttup,09,25,00,
599,uttu,09,25,00,
600,ua,08,58,00,
600,uaus,08,58,00,
601,pv,08,59,00,
601,ugw,09,13,00,
602,uh,08,59,00,
602,ufxf,09,05,00,
603,ufxf,09,00,00,
604,ufxf,09,00,00,
604,uh,09,06,00,
605,pv,09,01,00,
605,ugw,09,16,00,
605,ua,09,37,00,
606,uh,09,01,00,
607,ugw,09,02,00,
608,uttup,09,05,00,
608,uttu,09,05,00,
609,ufxf,09,06,00,
609,uh,09,15,00,
610,ua,09,07,00,
611,ugw,09,07,00,
611,uttup,09,28,00,
611,uttu,09,28,00,
612,ua,09,07,00,
613,pv,09,07,00,
613,ugw,09,22,00,
614,ugw,09,08,00,
614,uttup,09,31,00,
614,uttu,09,31,00,
615,ugw,09,09,00,
616,ufxf,09,10,00,
616,uh,09,22,00,
617,pv,09,11,00,
617,ugw,09,25,00,
617,ua,09,47,00,
618,ugw,09,11,00,
618,uttup,09,32,00,
618,uttu,09,32,00,
619,ua,09,12,00,
619,ugw,09,21,00,
620,pv,09,12,00,
620,ugw,09,22,00,
620,ua,09,42,00,
621,ua,09,13,00,
622,ufxf,09,13,00,
622,uh,09,24,00,
623,uttup,09,14,00,
623,uttu,09,14,00,
624,ufxf,09,15,00,
624,uh,09,27,00,
625,uttup,09,15,00,
625,uttu,09,15,00,
626,ufxf,09,15,00,
